Timestamp,Sensor_Voltage_V,PPM_CO2
2026-07-29 18:16:41,0.581,4.6
2026-07-29 18:16:41,0.582,4.6
2026-07-29 18:16:41,0.580,4.5
2026-07-29 18:16:42,0.580,4.5
2026-07-29 18:16:42,0.580,4.5
2026-07-29 18:16:42,0.581,4.6
2026-07-29 18:16:42,0.580,4.5
2026-07-29 18:16:42,0.576,4.5
2026-07-29 18:16:43,0.576,4.5
2026-07-29 18:16:43,0.582,4.6
2026-07-29 18:16:43,0.582,4.6
2026-07-29 18:16:43,0.578,4.5
2026-07-29 18:16:43,0.581,4.6
2026-07-29 18:16:44,0.581,4.6
2026-07-29 18:16:44,0.581,4.6
2026-07-29 18:16:44,0.580,4.5
2026-07-29 18:16:44,0.581,4.6
2026-07-29 18:16:44,0.580,4.5
2026-07-29 18:16:45,0.580,4.5
2026-07-29 18:16:45,0.579,4.5
2026-07-29 18:16:45,0.580,4.5
2026-07-29 18:16:45,0.580,4.5
2026-07-29 18:16:45,0.582,4.6
2026-07-29 18:16:46,0.580,4.5
2026-07-29 18:16:46,0.580,4.5
2026-07-29 18:16:46,0.581,4.6
2026-07-29 18:16:46,0.580,4.5
2026-07-29 18:16:46,0.579,4.5
2026-07-29 18:16:47,0.580,4.5
2026-07-29 18:16:47,0.579,4.5
2026-07-29 18:16:47,0.581,4.6
2026-07-29 18:16:47,0.581,4.6
2026-07-29 18:16:47,0.580,4.5
2026-07-29 18:16:48,0.581,4.6
2026-07-29 18:16:48,0.579,4.5
2026-07-29 18:16:48,0.580,4.5
2026-07-29 18:16:48,0.580,4.5
2026-07-29 18:16:48,0.581,4.6
2026-07-29 18:16:49,0.576,4.5
2026-07-29 18:16:49,0.580,4.5
2026-07-29 18:16:49,0.579,4.5
2026-07-29 18:16:49,0.580,4.5
2026-07-29 18:16:49,0.580,4.5
2026-07-29 18:16:50,0.579,4.5
2026-07-29 18:16:50,0.581,4.6
2026-07-29 18:16:50,0.579,4.5
2026-07-29 18:16:50,0.601,5.1
2026-07-29 18:16:50,0.579,4.5
2026-07-29 18:16:51,0.580,4.5
2026-07-29 18:16:51,0.578,4.5
2026-07-29 18:16:51,0.581,4.6
2026-07-29 18:16:51,0.580,4.5
2026-07-29 18:16:51,0.580,4.5
2026-07-29 18:16:52,0.579,4.5
2026-07-29 18:16:52,0.580,4.5
2026-07-29 18:16:52,0.581,4.6
2026-07-29 18:16:52,0.584,4.6
2026-07-29 18:16:52,0.581,4.6
2026-07-29 18:16:53,0.579,4.5
2026-07-29 18:16:53,0.579,4.5
2026-07-29 18:16:53,0.578,4.5
2026-07-29 18:16:53,0.580,4.5
2026-07-29 18:16:53,0.579,4.5
2026-07-29 18:16:54,0.579,4.5
2026-07-29 18:16:54,0.580,4.5
2026-07-29 18:16:54,0.580,4.5
2026-07-29 18:16:54,0.581,4.6
2026-07-29 18:16:54,0.579,4.5
2026-07-29 18:16:55,0.584,4.6
2026-07-29 18:16:55,0.579,4.5
2026-07-29 18:16:55,0.580,4.5
2026-07-29 18:16:55,0.579,4.5
2026-07-29 18:16:55,0.581,4.6
2026-07-29 18:16:56,0.581,4.6
2026-07-29 18:16:56,0.581,4.6
2026-07-29 18:16:56,0.580,4.5
2026-07-29 18:16:56,0.580,4.5
2026-07-29 18:16:56,0.581,4.6
2026-07-29 18:16:57,0.580,4.5
2026-07-29 18:16:57,0.579,4.5
2026-07-29 18:16:57,0.580,4.5
2026-07-29 18:16:57,0.580,4.5
2026-07-29 18:16:57,0.581,4.6
2026-07-29 18:16:58,0.579,4.5
2026-07-29 18:16:58,0.580,4.5
2026-07-29 18:16:58,0.582,4.6
2026-07-29 18:16:58,0.581,4.6
2026-07-29 18:16:58,0.581,4.6
2026-07-29 18:16:59,0.579,4.5
2026-07-29 18:16:59,0.579,4.5
2026-07-29 18:16:59,0.581,4.6
2026-07-29 18:16:59,0.580,4.5
2026-07-29 18:16:59,0.580,4.5
2026-07-29 18:17:00,0.579,4.5
2026-07-29 18:17:00,0.578,4.5
2026-07-29 18:17:00,0.579,4.5
2026-07-29 18:17:00,0.579,4.5
2026-07-29 18:17:00,0.584,4.6
2026-07-29 18:17:01,0.582,4.6
2026-07-29 18:17:01,0.581,4.6
2026-07-29 18:17:01,0.601,5.1
2026-07-29 18:17:01,0.581,4.6
2026-07-29 18:17:01,0.580,4.5
2026-07-29 18:17:02,0.581,4.6
2026-07-29 18:17:02,0.579,4.5
2026-07-29 18:17:02,0.581,4.6
2026-07-29 18:17:02,0.582,4.6
2026-07-29 18:17:02,0.580,4.5
2026-07-29 18:17:03,0.578,4.5
2026-07-29 18:17:03,0.580,4.5
2026-07-29 18:17:03,0.578,4.5
2026-07-29 18:17:03,0.581,4.6
2026-07-29 18:17:03,0.584,4.6
2026-07-29 18:17:04,0.580,4.5
2026-07-29 18:17:04,0.580,4.5
2026-07-29 18:17:04,0.580,4.5
2026-07-29 18:17:04,0.579,4.5
2026-07-29 18:17:04,0.578,4.5
2026-07-29 18:17:05,0.580,4.5
2026-07-29 18:17:05,0.581,4.6
2026-07-29 18:17:05,0.580,4.5
2026-07-29 18:17:05,0.579,4.5
2026-07-29 18:17:05,0.581,4.6
2026-07-29 18:17:06,0.581,4.6
2026-07-29 18:17:06,0.580,4.5
2026-07-29 18:17:06,0.580,4.5
2026-07-29 18:17:06,0.581,4.6
2026-07-29 18:17:06,0.582,4.6
2026-07-29 18:17:07,0.580,4.5
2026-07-29 18:17:07,0.580,4.5
2026-07-29 18:17:07,0.580,4.5
2026-07-29 18:17:07,0.579,4.5
2026-07-29 18:17:07,0.580,4.5
2026-07-29 18:17:08,0.579,4.5
2026-07-29 18:17:08,0.580,4.5
2026-07-29 18:17:08,0.580,4.5
2026-07-29 18:17:08,0.578,4.5
2026-07-29 18:17:08,0.580,4.5
2026-07-29 18:17:09,0.580,4.5
2026-07-29 18:17:09,0.580,4.5
2026-07-29 18:17:09,0.579,4.5
2026-07-29 18:17:09,0.578,4.5
2026-07-29 18:17:09,0.579,4.5
2026-07-29 18:17:10,0.579,4.5
2026-07-29 18:17:10,0.576,4.5
2026-07-29 18:17:10,0.580,4.5
2026-07-29 18:17:10,0.585,4.7
2026-07-29 18:17:10,0.580,4.5
2026-07-29 18:17:11,0.580,4.5
2026-07-29 18:17:11,0.581,4.6
2026-07-29 18:17:11,0.579,4.5
2026-07-29 18:17:11,0.579,4.5
2026-07-29 18:17:11,0.580,4.5
2026-07-29 18:17:12,0.584,4.6
2026-07-29 18:17:12,0.580,4.5
2026-07-29 18:17:12,0.578,4.5
2026-07-29 18:17:12,0.579,4.5
2026-07-29 18:17:12,0.578,4.5
2026-07-29 18:17:13,0.579,4.5
2026-07-29 18:17:13,0.580,4.5
2026-07-29 18:17:13,0.581,4.6
2026-07-29 18:17:13,0.580,4.5
2026-07-29 18:17:13,0.578,4.5
2026-07-29 18:17:14,0.579,4.5
2026-07-29 18:17:14,0.580,4.5
2026-07-29 18:17:14,0.581,4.6
2026-07-29 18:17:14,0.581,4.6
2026-07-29 18:17:14,0.579,4.5
2026-07-29 18:17:15,0.580,4.5
2026-07-29 18:17:15,0.580,4.5
2026-07-29 18:17:15,0.580,4.5
2026-07-29 18:17:15,0.579,4.5
2026-07-29 18:17:15,0.581,4.6
2026-07-29 18:17:16,0.579,4.5
2026-07-29 18:17:16,0.581,4.6
2026-07-29 18:17:16,0.580,4.5
2026-07-29 18:17:16,0.578,4.5
2026-07-29 18:17:16,0.579,4.5
2026-07-29 18:17:17,0.578,4.5
2026-07-29 18:17:17,0.581,4.6
2026-07-29 18:17:17,0.578,4.5
2026-07-29 18:17:17,0.579,4.5
2026-07-29 18:17:17,0.579,4.5
2026-07-29 18:17:18,0.580,4.5
2026-07-29 18:17:18,0.581,4.6
2026-07-29 18:17:18,0.580,4.5
2026-07-29 18:17:18,0.581,4.6
2026-07-29 18:17:18,0.576,4.5
2026-07-29 18:17:19,0.580,4.5
2026-07-29 18:17:19,0.579,4.5
2026-07-29 18:17:19,0.579,4.5
2026-07-29 18:17:19,0.578,4.5
2026-07-29 18:17:19,0.580,4.5
2026-07-29 18:17:20,0.578,4.5
2026-07-29 18:17:20,0.579,4.5
2026-07-29 18:17:20,0.580,4.5
2026-07-29 18:17:20,0.579,4.5
2026-07-29 18:17:20,0.579,4.5
2026-07-29 18:17:21,0.580,4.5
2026-07-29 18:17:21,0.580,4.5
2026-07-29 18:17:21,0.581,4.6
2026-07-29 18:17:21,0.580,4.5
2026-07-29 18:17:21,0.579,4.5
2026-07-29 18:17:22,0.579,4.5
2026-07-29 18:17:22,0.580,4.5
2026-07-29 18:17:22,0.578,4.5
2026-07-29 18:17:22,0.579,4.5
2026-07-29 18:17:22,0.581,4.6
2026-07-29 18:17:23,0.582,4.6
2026-07-29 18:17:23,0.582,4.6
2026-07-29 18:17:23,0.580,4.5
2026-07-29 18:17:23,0.579,4.5
2026-07-29 18:17:23,0.576,4.5
2026-07-29 18:17:24,0.579,4.5
2026-07-29 18:17:24,0.578,4.5
2026-07-29 18:17:24,0.579,4.5
2026-07-29 18:17:24,0.581,4.6
2026-07-29 18:17:24,0.581,4.6
2026-07-29 18:17:25,0.579,4.5
2026-07-29 18:17:25,0.580,4.5
2026-07-29 18:17:25,0.581,4.6
2026-07-29 18:17:25,0.580,4.5
2026-07-29 18:17:25,0.579,4.5
2026-07-29 18:17:26,0.579,4.5
2026-07-29 18:17:26,0.581,4.6
2026-07-29 18:17:26,0.580,4.5
2026-07-29 18:17:26,0.579,4.5
2026-07-29 18:17:26,0.578,4.5
2026-07-29 18:17:27,0.578,4.5
2026-07-29 18:17:27,0.582,4.6
2026-07-29 18:17:27,0.580,4.5
2026-07-29 18:17:27,0.582,4.6
2026-07-29 18:17:27,0.581,4.6
2026-07-29 18:17:28,0.581,4.6
2026-07-29 18:17:28,0.579,4.5
2026-07-29 18:17:28,0.580,4.5
2026-07-29 18:17:28,0.580,4.5
2026-07-29 18:17:28,0.580,4.5
2026-07-29 18:17:29,0.579,4.5
2026-07-29 18:17:29,0.580,4.5
2026-07-29 18:17:29,0.579,4.5
2026-07-29 18:17:29,0.580,4.5
2026-07-29 18:17:29,0.580,4.5
2026-07-29 18:17:30,0.581,4.6
2026-07-29 18:17:30,0.579,4.5
2026-07-29 18:17:30,0.585,4.7
2026-07-29 18:17:30,0.593,4.9
2026-07-29 18:17:30,0.592,4.9
2026-07-29 18:17:31,0.592,4.9
2026-07-29 18:17:31,0.590,4.8
2026-07-29 18:17:31,0.586,4.7
2026-07-29 18:17:31,0.587,4.7
2026-07-29 18:17:31,0.589,4.8
2026-07-29 18:17:32,0.587,4.7
2026-07-29 18:17:32,0.587,4.7
2026-07-29 18:17:32,0.603,5.2
2026-07-29 18:17:32,0.587,4.7
2026-07-29 18:17:32,0.587,4.7
2026-07-29 18:17:33,0.586,4.7
2026-07-29 18:17:33,0.587,4.7
2026-07-29 18:17:33,0.567,4.2
2026-07-29 18:17:33,0.585,4.7
2026-07-29 18:17:33,0.585,4.7
2026-07-29 18:17:34,0.584,4.6
2026-07-29 18:17:34,0.584,4.6
2026-07-29 18:17:34,0.584,4.6
2026-07-29 18:17:34,0.584,4.6
2026-07-29 18:17:34,0.582,4.6
2026-07-29 18:17:35,0.582,4.6
2026-07-29 18:17:35,0.581,4.6
2026-07-29 18:17:35,0.601,5.1
2026-07-29 18:17:35,0.582,4.6
2026-07-29 18:17:35,0.580,4.5
2026-07-29 18:17:36,0.581,4.6
2026-07-29 18:17:36,0.581,4.6
2026-07-29 18:17:36,0.581,4.6
2026-07-29 18:17:36,0.580,4.5
2026-07-29 18:17:36,0.581,4.6
2026-07-29 18:17:37,0.580,4.5
2026-07-29 18:17:37,0.581,4.6
2026-07-29 18:17:37,0.581,4.6
2026-07-29 18:17:37,0.582,4.6
2026-07-29 18:17:37,0.580,4.5
2026-07-29 18:17:38,0.580,4.5
2026-07-29 18:17:38,0.580,4.5
2026-07-29 18:17:38,0.580,4.5
2026-07-29 18:17:38,0.584,4.6
2026-07-29 18:17:38,0.581,4.6
2026-07-29 18:17:39,0.581,4.6
2026-07-29 18:17:39,0.580,4.5
2026-07-29 18:17:39,0.580,4.5
2026-07-29 18:17:39,0.582,4.6
2026-07-29 18:17:39,0.582,4.6
2026-07-29 18:17:40,0.581,4.6
2026-07-29 18:17:40,0.581,4.6
2026-07-29 18:17:40,0.579,4.5
2026-07-29 18:17:40,0.581,4.6
2026-07-29 18:17:40,0.580,4.5
2026-07-29 18:17:41,0.580,4.5
2026-07-29 18:17:41,0.580,4.5
2026-07-29 18:17:41,0.580,4.5
2026-07-29 18:17:41,0.576,4.5
2026-07-29 18:17:41,0.580,4.5
2026-07-29 18:17:42,0.581,4.6
2026-07-29 18:17:42,0.581,4.6
2026-07-29 18:17:42,0.581,4.6
2026-07-29 18:17:42,0.580,4.5
2026-07-29 18:17:42,0.584,4.6
2026-07-29 18:17:43,0.581,4.6
2026-07-29 18:17:43,0.580,4.5
2026-07-29 18:17:43,0.579,4.5
2026-07-29 18:17:43,0.581,4.6
2026-07-29 18:17:43,0.580,4.5
2026-07-29 18:17:44,0.581,4.6
2026-07-29 18:17:44,0.581,4.6
2026-07-29 18:17:44,0.582,4.6
2026-07-29 18:17:44,0.580,4.5
2026-07-29 18:17:44,0.581,4.6
