Timestamp,Sensor_Voltage_V,PPM,mg_L
2026-07-29 21:56:32,0.646,10.8,0.020
2026-07-29 21:56:32,0.661,11.2,0.021
2026-07-29 21:56:32,0.644,10.7,0.020
2026-07-29 21:56:33,0.641,10.6,0.020
2026-07-29 21:56:33,0.643,10.7,0.020
2026-07-29 21:56:33,0.621,10.0,0.019
2026-07-29 21:56:33,0.640,10.6,0.020
2026-07-29 21:56:33,0.622,10.0,0.019
2026-07-29 21:56:34,0.640,10.6,0.020
2026-07-29 21:56:34,0.639,10.5,0.020
2026-07-29 21:56:34,0.661,11.2,0.021
2026-07-29 21:56:34,0.644,10.7,0.020
2026-07-29 21:56:34,0.661,11.2,0.021
2026-07-29 21:56:35,0.639,10.5,0.020
2026-07-29 21:56:35,0.637,10.5,0.020
2026-07-29 21:56:35,0.639,10.5,0.020
2026-07-29 21:56:35,0.637,10.5,0.020
2026-07-29 21:56:35,0.637,10.5,0.020
2026-07-29 21:56:36,0.633,10.4,0.020
2026-07-29 21:56:36,0.636,10.5,0.020
2026-07-29 21:56:36,0.635,10.4,0.020
2026-07-29 21:56:36,0.635,10.4,0.020
2026-07-29 21:56:36,0.632,10.3,0.019
2026-07-29 21:56:37,0.631,10.3,0.019
2026-07-29 21:56:37,0.633,10.4,0.020
2026-07-29 21:56:37,0.628,10.2,0.019
2026-07-29 21:56:37,0.632,10.3,0.019
2026-07-29 21:56:37,0.631,10.3,0.019
2026-07-29 21:56:38,0.631,10.3,0.019
2026-07-29 21:56:38,0.627,10.2,0.019
2026-07-29 21:56:38,0.631,10.3,0.019
2026-07-29 21:56:38,0.628,10.2,0.019
2026-07-29 21:56:38,0.628,10.2,0.019
2026-07-29 21:56:39,0.627,10.2,0.019
2026-07-29 21:56:39,0.630,10.3,0.019
2026-07-29 21:56:39,0.628,10.2,0.019
2026-07-29 21:56:39,0.632,10.3,0.019
2026-07-29 21:56:39,0.623,10.1,0.019
2026-07-29 21:56:40,0.628,10.2,0.019
2026-07-29 21:56:40,0.628,10.2,0.019
2026-07-29 21:56:40,0.627,10.2,0.019
